energy,group,subject
15.63341892,high,telegram
16.17829317,high,telegram
19.72375683,high,telegram
38.71060686,high,telegram
39.83688045,high,telegram
16.21856643,high,telegram
15.72068366,high,telegram
16.48274506,high,telegram
18.48859391,high,telegram
8.005878543,high,telegram
39.22506771,high,telegram
17.24077093,high,telegram
17.8303709,high,telegram
17.64798172,high,telegram
21.32078918,high,telegram
20.38747034,high,telegram
31.8654687,high,telegram
16.20159574,high,telegram
17.22936192,high,telegram
17.71866721,high,telegram
20.57196484,high,telegram
17.63601225,high,telegram
40.69582146,high,telegram
16.12347822,high,telegram
15.23772887,high,telegram
20.96019834,high,telegram
16.00407753,high,telegram
5.401601763,high,telegram
15.65094476,high,telegram
16.02268631,high,telegram
5.076141336,idle,telegram
7.798916154,idle,telegram
5.592813828,idle,telegram
6.136550484,idle,telegram
5.125497795,idle,telegram
5.225046393,idle,telegram
6.389993187,idle,telegram
7.516053408,idle,telegram
6.106846692,idle,telegram
6.261180222,idle,telegram
5.673118296,idle,telegram
5.540575092,idle,telegram
4.938117435,idle,telegram
14.83488783,idle,telegram
5.734501602,idle,telegram
5.181944976,idle,telegram
11.68787774,idle,telegram
5.28315897,idle,telegram
6.067870071,idle,telegram
6.088256613,idle,telegram
4.865839725,idle,telegram
5.771116428,idle,telegram
6.824922894,idle,telegram
4.896370764,idle,telegram
5.171315331,idle,telegram
5.428108989,idle,telegram
5.159217234,idle,telegram
5.279492955,idle,telegram
5.530998096,idle,telegram
9.476048109,idle,telegram
8.648587812,low,telegram
8.093283318,low,telegram
9.037796205,low,telegram
8.334469818,low,telegram
8.200938762,low,telegram
18.42797716,low,telegram
8.668253565,low,telegram
8.710565514,low,telegram
8.301891804,low,telegram
9.670425075,low,telegram
8.43958701,low,telegram
22.3727679,low,telegram
8.311970928,low,telegram
8.630060052,low,telegram
15.24519155,low,telegram
7.999781817,low,telegram
17.7001406,low,telegram
8.64722916,low,telegram
8.502869631,low,telegram
20.59031103,low,telegram
8.227850814,low,telegram
9.224181165,low,telegram
8.434615845,low,telegram
8.470404465,low,telegram
9.28007922,low,telegram
22.35964539,low,telegram
8.548925775,low,telegram
9.001688313,low,telegram
8.307928353,low,telegram
9.289900599,low,telegram
15.3740232,medium,telegram
12.39054694,medium,telegram
32.77323411,medium,telegram
12.51556689,medium,telegram
12.47118867,medium,telegram
12.60026074,medium,telegram
12.0145048,medium,telegram
13.06569614,medium,telegram
16.21298229,medium,telegram
19.07847669,medium,telegram
12.0568992,medium,telegram
15.55848292,medium,telegram
35.07014085,medium,telegram
13.44074745,medium,telegram
11.29478868,medium,telegram
12.42664824,medium,telegram
12.62697103,medium,telegram
12.31436842,medium,telegram
32.00797011,medium,telegram
13.20347672,medium,telegram
25.06536054,medium,telegram
12.79232148,medium,telegram
15.39668648,medium,telegram
30.9406455,medium,telegram
28.6505718,medium,telegram
15.23245542,medium,telegram
12.39468881,medium,telegram
16.06771838,medium,telegram
12.76631165,medium,telegram
12.30694814,medium,telegram
76.56623895,high,whatsapp
28.74543045,high,whatsapp
4.167263823,high,whatsapp
36.51194001,high,whatsapp
6.55886994,high,whatsapp
38.96722653,high,whatsapp
48.46630329,high,whatsapp
47.2531605,high,whatsapp
4.249458012,high,whatsapp
38.3224662,high,whatsapp
72.92078649,high,whatsapp
69.25981383,high,whatsapp
23.2275739,high,whatsapp
80.19141174,high,whatsapp
4.94836263,high,whatsapp
70.34624916,high,whatsapp
26.23096769,high,whatsapp
24.88149131,high,whatsapp
